,Rating,Number
1,"('Australia', 3.2)",1
2,"('Australia', 3.4)",1
3,"('Australia', 3.5)",3
4,"('Australia', 3.6)",3
5,"('Australia', 3.7)",3
6,"('Australia', 3.8)",4
7,"('Australia', 4.1)",3
8,"('Australia', 4.4)",2
9,"('Australia', 4.6)",1
10,"('Brazil', 3.0)",1
11,"('Brazil', 3.1)",3
12,"('Brazil', 3.2)",2
13,"('Brazil', 3.3)",1
14,"('Brazil', 3.4)",1
15,"('Brazil', 3.5)",1
16,"('Brazil', 3.6)",3
17,"('Brazil', 3.7)",3
18,"('Brazil', 3.8)",2
19,"('Brazil', 3.9)",2
20,"('Brazil', 4.0)",3
21,"('Brazil', 4.1)",3
22,"('Brazil', 4.2)",4
23,"('Brazil', 4.3)",6
24,"('Brazil', 4.4)",4
25,"('Brazil', 4.5)",2
26,"('Brazil', 4.6)",6
27,"('Brazil', 4.7)",2
28,"('Brazil', 4.8)",3
29,"('Brazil', 4.9)",3
30,"('Canada', 3.0)",1
31,"('Canada', 3.3)",1
32,"('Canada', 3.7)",1
33,"('Canada', 4.3)",1
34,"('India', 3.0)",465
35,"('India', 3.1)",511
36,"('India', 3.2)",510
37,"('India', 3.3)",472
38,"('India', 3.4)",477
39,"('India', 3.5)",454
40,"('India', 3.6)",411
41,"('India', 3.7)",363
42,"('India', 3.8)",336
43,"('India', 3.9)",283
44,"('India', 4.0)",193
45,"('India', 4.1)",185
46,"('India', 4.2)",140
47,"('India', 4.3)",100
48,"('India', 4.4)",74
49,"('India', 4.5)",37
50,"('India', 4.6)",35
51,"('India', 4.7)",16
52,"('India', 4.8)",9
53,"('India', 4.9)",19
54,"('Indonesia', 3.4)",1
55,"('Indonesia', 3.7)",2
56,"('Indonesia', 3.9)",1
57,"('Indonesia', 4.0)",2
58,"('Indonesia', 4.1)",1
59,"('Indonesia', 4.2)",3
60,"('Indonesia', 4.3)",2
61,"('Indonesia', 4.4)",2
62,"('Indonesia', 4.6)",3
63,"('Indonesia', 4.9)",4
64,"('New Zealand', 3.5)",1
65,"('New Zealand', 3.7)",1
66,"('New Zealand', 4.0)",4
67,"('New Zealand', 4.1)",5
68,"('New Zealand', 4.2)",5
69,"('New Zealand', 4.3)",7
70,"('New Zealand', 4.4)",4
71,"('New Zealand', 4.5)",4
72,"('New Zealand', 4.6)",3
73,"('New Zealand', 4.7)",2
74,"('New Zealand', 4.8)",1
75,"('New Zealand', 4.9)",2
76,"('Philippines', 3.6)",1
77,"('Philippines', 4.0)",2
78,"('Philippines', 4.2)",3
79,"('Philippines', 4.3)",1
80,"('Philippines', 4.4)",3
81,"('Philippines', 4.5)",4
82,"('Philippines', 4.7)",1
83,"('Philippines', 4.8)",4
84,"('Philippines', 4.9)",3
85,"('Qatar', 3.4)",2
86,"('Qatar', 3.6)",1
87,"('Qatar', 3.7)",1
88,"('Qatar', 3.8)",3
89,"('Qatar', 3.9)",2
90,"('Qatar', 4.0)",3
91,"('Qatar', 4.2)",1
92,"('Qatar', 4.3)",2
93,"('Qatar', 4.4)",1
94,"('Qatar', 4.5)",1
95,"('Qatar', 4.6)",1
96,"('Qatar', 4.7)",1
97,"('Qatar', 4.9)",1
98,"('Singapore', 3.0)",1
99,"('Singapore', 3.1)",2
100,"('Singapore', 3.2)",5
101,"('Singapore', 3.4)",1
102,"('Singapore', 3.7)",1
103,"('Singapore', 3.8)",4
104,"('Singapore', 3.9)",3
105,"('Singapore', 4.0)",1
106,"('Singapore', 4.1)",1
107,"('Singapore', 4.2)",1
108,"('South Africa', 3.4)",1
109,"('South Africa', 3.6)",1
110,"('South Africa', 3.7)",2
111,"('South Africa', 3.8)",5
112,"('South Africa', 3.9)",4
113,"('South Africa', 4.0)",6
114,"('South Africa', 4.1)",9
115,"('South Africa', 4.2)",4
116,"('South Africa', 4.3)",6
117,"('South Africa', 4.4)",10
118,"('South Africa', 4.5)",5
119,"('South Africa', 4.6)",1
120,"('South Africa', 4.7)",1
121,"('South Africa', 4.8)",2
122,"('South Africa', 4.9)",3
123,"('Sri Lanka', 3.4)",1
124,"('Sri Lanka', 3.5)",1
125,"('Sri Lanka', 3.6)",1
126,"('Sri Lanka', 3.7)",1
127,"('Sri Lanka', 3.8)",1
128,"('Sri Lanka', 4.0)",4
129,"('Sri Lanka', 4.1)",3
130,"('Sri Lanka', 4.2)",4
131,"('Sri Lanka', 4.5)",1
132,"('Sri Lanka', 4.9)",1
133,"('Turkey', 3.4)",1
134,"('Turkey', 3.7)",2
135,"('Turkey', 3.8)",1
136,"('Turkey', 4.0)",2
137,"('Turkey', 4.1)",2
138,"('Turkey', 4.2)",8
139,"('Turkey', 4.3)",4
140,"('Turkey', 4.4)",4
141,"('Turkey', 4.5)",2
142,"('Turkey', 4.6)",2
143,"('Turkey', 4.7)",3
144,"('Turkey', 4.9)",3
145,"('UAE', 3.2)",1
146,"('UAE', 3.6)",1
147,"('UAE', 3.7)",1
148,"('UAE', 3.8)",3
149,"('UAE', 3.9)",4
150,"('UAE', 4.0)",5
151,"('UAE', 4.1)",7
152,"('UAE', 4.2)",7
153,"('UAE', 4.3)",8
154,"('UAE', 4.4)",4
155,"('UAE', 4.5)",6
156,"('UAE', 4.6)",4
157,"('UAE', 4.7)",2
158,"('UAE', 4.8)",2
159,"('UAE', 4.9)",4
160,"('United Kingdom', 3.1)",1
161,"('United Kingdom', 3.3)",2
162,"('United Kingdom', 3.4)",1
163,"('United Kingdom', 3.5)",1
164,"('United Kingdom', 3.6)",2
165,"('United Kingdom', 3.7)",5
166,"('United Kingdom', 3.8)",6
167,"('United Kingdom', 3.9)",6
168,"('United Kingdom', 4.0)",9
169,"('United Kingdom', 4.1)",8
170,"('United Kingdom', 4.2)",5
171,"('United Kingdom', 4.3)",5
172,"('United Kingdom', 4.4)",4
173,"('United Kingdom', 4.5)",9
174,"('United Kingdom', 4.6)",4
175,"('United Kingdom', 4.7)",5
176,"('United Kingdom', 4.8)",1
177,"('United Kingdom', 4.9)",4
178,"('United States', 3.1)",2
179,"('United States', 3.2)",3
180,"('United States', 3.3)",7
181,"('United States', 3.4)",8
182,"('United States', 3.5)",19
183,"('United States', 3.6)",34
184,"('United States', 3.7)",41
185,"('United States', 3.8)",34
186,"('United States', 3.9)",27
187,"('United States', 4.0)",32
188,"('United States', 4.1)",47
189,"('United States', 4.2)",36
190,"('United States', 4.3)",32
191,"('United States', 4.4)",31
192,"('United States', 4.5)",24
193,"('United States', 4.6)",18
194,"('United States', 4.7)",8
195,"('United States', 4.8)",3
196,"('United States', 4.9)",14
